class_id,class_name,HOG + Linear SVM,support,Custom CNN,ResNet18,MobileNetV3-Large,mean_recall,recall_standard_deviation,best_model_recall,worst_model_recall,recall_range,best_model,worst_model
30,30,0.5266666666666666,150,0.8066666666666666,0.6266666666666667,0.62,0.645,0.11704699910719626,0.8066666666666666,0.5266666666666666,0.28,Custom CNN,HOG + Linear SVM
31,31,0.9555555555555556,270,0.9925925925925926,0.9777777777777776,0.9592592592592591,0.9712962962962962,0.01720661711699549,0.9925925925925926,0.9555555555555556,0.03703703703703698,Custom CNN,HOG + Linear SVM
32,32,0.9166666666666666,60,1.0,1.0,1.0,0.9791666666666666,0.04166666666666669,1.0,0.9166666666666666,0.08333333333333337,Custom CNN,HOG + Linear SVM
33,33,0.9761904761904762,210,1.0,0.9285714285714286,0.919047619047619,0.955952380952381,0.03856358924843283,1.0,0.919047619047619,0.080952380952381,Custom CNN,MobileNetV3-Large
34,34,0.9666666666666668,120,1.0,0.9833333333333332,0.8833333333333333,0.9583333333333334,0.05181877251716008,1.0,0.8833333333333333,0.1166666666666667,Custom CNN,MobileNetV3-Large
35,35,0.9487179487179488,390,0.9897435897435898,0.941025641025641,0.8846153846153846,0.9410256410256411,0.043261711913995804,0.9897435897435898,0.8846153846153846,0.1051282051282052,Custom CNN,MobileNetV3-Large
36,36,0.95,120,0.9666666666666668,0.7166666666666667,0.575,0.8020833333333333,0.18958714892375234,0.9666666666666668,0.575,0.39166666666666683,Custom CNN,MobileNetV3-Large
37,37,0.8833333333333333,60,0.9833333333333332,0.85,0.4666666666666667,0.7958333333333333,0.22664011282370278,0.9833333333333332,0.4666666666666667,0.5166666666666665,Custom CNN,MobileNetV3-Large
38,38,0.9492753623188406,690,0.989855072463768,0.9840579710144928,0.9260869565217392,0.9623188405797102,0.030076101287484735,0.989855072463768,0.9260869565217392,0.0637681159420288,Custom CNN,MobileNetV3-Large
39,39,1.0,90,0.7444444444444445,0.9777777777777776,0.6444444444444445,0.8416666666666667,0.17506612507320807,1.0,0.6444444444444445,0.3555555555555555,HOG + Linear SVM,MobileNetV3-Large
40,40,0.9333333333333332,90,0.9888888888888888,0.9333333333333332,0.8111111111111111,0.9166666666666665,0.07508568493597512,0.9888888888888888,0.8111111111111111,0.1777777777777777,Custom CNN,MobileNetV3-Large
41,41,0.7333333333333333,60,1.0,0.9666666666666668,0.9666666666666668,0.9166666666666667,0.12322818340454914,1.0,0.7333333333333333,0.2666666666666667,Custom CNN,HOG + Linear SVM
42,42,0.7444444444444445,90,0.7666666666666667,0.7222222222222222,0.7555555555555555,0.7472222222222222,0.018975834751777054,0.7666666666666667,0.7222222222222222,0.04444444444444451,Custom CNN,ResNet18
